-BEGIN HEADER-,,,,,,
NASA/POWER Source Native Resolution Hourly Data ,,,,,,
Dates (month/day/year): 12/01/2025 through 02/01/2026 in LST,,,,,,
Location: Latitude  34.1833   Longitude 77.5245 ,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 4532.61 meters,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,
Parameter(s): ,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) ,,,,,,
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) ,,,,,,
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,
-END HEADER-,,,,,,
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,WS2M,RH2M
2025,12,1,0,0,1.12,63.79
2025,12,1,1,0,1.09,64.41
2025,12,1,2,0,1.09,64.65
2025,12,1,3,0,1.03,66.37
2025,12,1,4,0,0.95,68.31
2025,12,1,5,0,0.88,70.84
2025,12,1,6,0,0.86,74.28
2025,12,1,7,74.85,0.96,75.56
2025,12,1,8,186.98,2.1,64.2
2025,12,1,9,287.45,2.63,56.96
2025,12,1,10,343.88,2.91,51.57
2025,12,1,11,194.32,3.18,46.2
2025,12,1,12,359.58,3.34,41.55
2025,12,1,13,227.05,3.17,38.13
2025,12,1,14,199.32,2.8,35.74
2025,12,1,15,73.65,2.37,35.34
2025,12,1,16,11.23,1.29,46.72
2025,12,1,17,0,0.81,50.97
2025,12,1,18,0,0.91,46.77
2025,12,1,19,0,1.05,45.27
2025,12,1,20,0,1.2,44.54
2025,12,1,21,0,1.24,43.37
2025,12,1,22,0,1.3,44.21
2025,12,1,23,0,1.34,45.64
2025,12,2,0,0,1.32,45.6
2025,12,2,1,0,1.29,46.26
2025,12,2,2,0,1.22,46.69
2025,12,2,3,0,1.18,46.73
2025,12,2,4,0,1.14,46.89
2025,12,2,5,0,1.12,46.93
2025,12,2,6,0,1.14,47.85
2025,12,2,7,75.9,1.03,51.72
2025,12,2,8,103.75,1.9,41.62
2025,12,2,9,187.93,3.02,29.87
2025,12,2,10,212.88,3.49,28.2
2025,12,2,11,350.42,3.66,27.15
2025,12,2,12,237.48,3.67,27.28
2025,12,2,13,286.3,3.51,28.3
2025,12,2,14,236.57,3.28,29.77
2025,12,2,15,104.28,2.88,32.29
2025,12,2,16,11.82,2.16,38.43
2025,12,2,17,0,1.06,53.77
2025,12,2,18,0,0.75,61.29
2025,12,2,19,0,0.76,58.83
2025,12,2,20,0,0.82,58.13
2025,12,2,21,0,0.85,57.15
2025,12,2,22,0,0.85,57.21
2025,12,2,23,0,0.85,58.88
